core_num,top,down,left,right,attack,time,,,,
8,311,2137,2408,13948,0,15,,,,
9,106,3131,7269,5,0,15,,,,
0,7468,258,2684,7,0,16,,,,
1,362,145,6630,640,0,16,,,,
2,145,9077,6647,624,0,16,,,,
3,279,188,105,4703,0,16,,,,
4,209,75,4435,7,0,16,,,,
5,148,1878,2590,4,0,16,,,,
6,287,13750,4671,531,0,16,,,,
7,1576,147,7,8781,0,16,,,,
8,147,1373,4,8785,0,16,,,,
9,75,75,4442,4,0,16,,,,
0,16938,76,2758,0,0,17,,,,
1,8262,91,13619,0,0,17,,,,
2,91,2463,13593,0,0,17,,,,
3,183,129,115,7695,0,17,,,,
4,79,40,6617,0,0,17,,,,
5,76,1788,2558,0,0,17,,,,
6,12576,3754,9522,234,0,17,,,,
7,156,76,0,13997,0,17,,,,
8,76,76,0,13964,0,17,,,,
9,40,40,6598,0,0,17,,,,
0,12087,508,6574,8,0,18,,,,
1,12917,377,9133,2788,0,18,,,,
2,377,9557,9214,2728,0,18,,,,
3,2028,1815,1228,9007,0,18,,,,
4,396,144,8453,8,0,18,,,,
5,347,1306,6420,9,0,18,,,,
6,17742,12866,6644,1971,0,18,,,,
7,3529,361,1433,16029,0,18,,,,
8,361,3171,1293,15929,0,18,,,,
9,144,1772,8486,9,0,18,,,,
0,10839,336,3110,1,0,19,,,,
1,1230,228,8653,586,0,19,,,,
2,228,10488,8659,576,0,19,,,,
3,397,241,157,6020,0,19,,,,
4,270,85,5469,1,0,19,,,,
5,234,1659,3072,4,0,19,,,,
6,1499,15776,6260,561,0,19,,,,
7,1603,186,1,11035,0,19,,,,
8,186,1300,4,11030,0,19,,,,
9,85,85,5534,4,0,19,,,,
0,7741,1412,10847,203,0,20,,,,
1,13157,453,6635,13698,0,20,,,,
2,453,15874,6668,13771,0,20,,,,
3,20157,23781,401,6776,0,20,,,,
4,600,246,12250,203,0,20,,,,
5,615,2602,10930,207,0,20,,,,
6,963,5935,4911,7608,0,20,,,,
7,14255,4423,203,12096,0,20,,,,
8,1586,16205,207,11966,0,20,,,,
9,246,246,12206,207,0,20,,,,
0,1217,918,6289,29,0,21,,,,
1,6763,293,1322,9372,0,21,,,,
2,293,5913,1312,9415,0,21,,,,
3,13378,11506,1737,3545,0,21,,,,
4,287,161,5817,29,0,21,,,,
5,442,1556,6415,24,0,21,,,,
6,2162,1235,1886,5949,0,21,,,,
7,9852,343,1544,4119,0,21,,,,
8,343,8469,1437,4091,0,21,,,,
9,161,1958,5923,24,0,21,,,,
0,455,288,3475,33,0,22,,,,
1,3154,165,1095,5569,0,22,,,,
2,165,2617,1111,5502,0,22,,,,
3,14813,3197,598,2002,0,22,,,,
4,339,123,3430,33,0,22,,,,
5,230,1660,3466,38,0,22,,,,
6,645,365,1364,3755,0,22,,,,
7,10103,1102,33,1904,0,22,,,,
8,560,2136,38,1950,0,22,,,,
9,123,123,3456,38,0,22,,,,
0,2242,649,3986,0,0,23,,,,
1,3797,405,1229,7889,0,23,,,,
2,405,561,1242,8133,0,23,,,,
3,25857,1934,309,695,0,23,,,,
4,1739,282,4035,0,0,23,,,,
5,645,2309,4262,0,0,23,,,,
6,2125,485,1049,4503,0,23,,,,
7,19307,1624,0,853,0,23,,,,
8,1624,1869,0,889,0,23,,,,
9,282,282,4033,0,0,23,,,,
0,2956,789,4515,4,0,24,,,,
1,4845,454,2687,8146,0,24,,,,
2,454,1625,2674,8429,0,24,,,,
3,25127,2937,399,1790,0,24,,,,
4,1774,285,4970,4,0,24,,,,
5,722,3642,4806,3,0,24,,,,
6,3122,1500,2140,4821,0,24,,,,
7,19332,1680,4,2594,0,24,,,,
8,1680,3015,3,2631,0,24,,,,
9,285,285,4989,3,0,24,,,,
0,2419,674,3937,0,0,25,,,,
1,3941,421,1271,7747,0,25,,,,
2,421,527,1292,8060,0,25,,,,
3,25715,1994,319,745,0,25,,,,
4,1817,264,4016,0,0,25,,,,
5,674,2327,4222,0,0,25,,,,
6,2307,594,1116,4464,0,25,,,,
7,19288,1684,0,896,0,25,,,,
8,1684,1881,0,937,0,25,,,,
9,264,264,4033,0,0,25,,,,
0,2321,645,3832,0,0,26,,,,
1,3812,468,1242,7667,0,26,,,,
2,468,468,1252,7959,0,26,,,,
3,25813,1879,321,653,0,26,,,,
4,1836,285,3894,0,0,26,,,,
5,645,2316,4125,0,0,26,,,,
6,2247,545,1036,4443,0,26,,,,
7,19247,1763,0,778,0,26,,,,
8,1763,1763,0,826,0,26,,,,
9,285,285,3891,0,0,26,,,,
0,2677,563,4332,0,0,27,,,,
1,4478,362,2360,7470,0,27,,,,
2,362,2003,2342,7640,0,27,,,,
3,19280,2550,1329,1846,0,27,,,,
4,1365,218,4271,0,0,27,,,,
5,563,2839,4564,0,0,27,,,,
6,2980,1725,1928,4372,0,27,,,,
7,15230,1310,1536,2689,0,27,,,,
8,1310,2901,1439,2739,0,27,,,,
9,218,2037,4262,0,0,27,,,,
0,883,243,1528,0,0,28,,,,
1,1470,142,1214,2923,0,28,,,,
2,142,284,1235,2977,0,28,,,,
3,8898,857,256,535,0,28,,,,
4,628,83,1677,0,0,28,,,,
5,243,1815,1582,0,0,28,,,,
6,877,266,913,1637,0,28,,,,
7,6723,607,249,873,0,28,,,,
8,607,828,191,914,0,28,,,,
9,83,332,1690,0,0,28,,,,
0,848,249,1350,0,0,29,,,,
1,1365,169,1238,2711,0,29,,,,
2,169,169,1255,2824,0,29,,,,
3,9118,647,94,484,0,29,,,,
4,639,82,1633,0,0,29,,,,
5,249,1930,1461,0,0,29,,,,
6,804,201,909,1547,0,29,,,,
7,6842,613,0,775,0,29,,,,
8,613,613,0,821,0,29,,,,
9,82,82,1632,0,0,29,,,,
0,2002,280,2557,0,0,30,,,,
1,3270,190,2458,3754,0,30,,,,
2,190,1960,2461,3877,0,30,,,,
3,9793,1988,212,1783,0,30,,,,
4,697,133,3122,0,0,30,,,,
5,280,2465,2694,0,0,30,,,,
6,2443,1653,1807,2293,0,30,,,,
7,8059,625,0,2935,0,30,,,,
8,625,2336,0,2970,0,30,,,,
9,133,133,3115,0,0,30,,,,
0,1155,251,1616,0,0,31,,,,
1,1680,159,1635,2996,0,31,,,,
2,159,407,1646,3067,0,31,,,,
3,9225,897,232,713,0,31,,,,
4,651,100,1886,0,0,31,,,,
5,251,2147,1684,0,0,31,,,,
6,1101,390,1152,1684,0,31,,,,
7,6981,620,196,1241,0,31,,,,
8,620,862,157,1302,0,31,,,,
9,100,306,1925,0,0,31,,,,
0,817,207,1370,0,0,32,,,,
1,1350,146,1243,2729,0,32,,,,
2,146,146,1250,2844,0,32,,,,
3,9242,683,120,515,0,32,,,,
4,654,102,1654,0,0,32,,,,
5,207,1875,1477,0,0,32,,,,
6,789,182,943,1596,0,32,,,,
7,6893,642,0,789,0,32,,,,
8,642,642,0,824,0,32,,,,
9,102,102,1648,0,0,32,,,,
0,853,261,1355,0,0,33,,,,
1,1345,161,1231,2716,0,33,,,,
2,161,161,1252,2831,0,33,,,,
3,9167,676,108,510,0,33,,,,
4,646,100,1631,0,0,33,,,,
5,261,1932,1471,0,0,33,,,,
6,799,192,930,1592,0,33,,,,
7,6829,634,0,779,0,33,,,,
8,634,634,0,815,0,33,,,,
9,100,100,1620,0,0,33,,,,
0,902,238,1566,0,0,34,,,,
1,1508,151,1241,2993,0,34,,,,
2,151,287,1272,3067,0,34,,,,
3,9129,888,283,561,0,34,,,,
4,652,111,1714,0,0,34,,,,
5,238,1873,1627,0,0,34,,,,
6,898,276,939,1699,0,34,,,,
7,6898,615,243,894,0,34,,,,
8,615,851,189,934,0,34,,,,
9,111,355,1736,0,0,34,,,,
0,838,255,1363,0,0,35,,,,
1,1352,159,1228,2727,0,35,,,,
2,159,159,1253,2826,0,35,,,,
3,9118,617,129,497,0,35,,,,
4,645,100,1636,0,0,35,,,,
5,255,1930,1464,0,0,35,,,,
6,795,189,902,1576,0,35,,,,
7,6819,577,0,779,0,35,,,,
8,577,577,0,818,0,35,,,,
9,100,100,1623,0,0,35,,,,
0,834,243,1384,0,0,36,,,,
1,1345,154,1255,2755,0,36,,,,
2,154,154,1282,2850,0,36,,,,
3,9252,678,115,516,0,36,,,,
4,651,90,1641,0,0,36,,,,
5,243,1952,1484,0,0,36,,,,
6,794,187,952,1593,0,36,,,,
7,6912,638,0,798,0,36,,,,
8,638,638,0,839,0,36,,,,
9,90,90,1641,0,0,36,,,,
0,907,225,1708,0,0,37,,,,
1,1534,166,1201,3288,0,37,,,,
